code,name,strength,event_title,event_id,return_20d,bias_20d,avg_turnover
000603,盛达资源,2.4,原材料价格波动,374,3.557910673732012,4.229894982793436,3.2897999999999996
601333,广深铁路,2.4,消费/投资/出口数据,314,-1.2987012987012998,-1.5703415897684887,1.07828
300342,天银机电,2.4,管理层变动,2597,24.776054183963282,7.691727480153104,15.01028
600754,锦江酒店,2.4,国家发展规划,425,-2.4513338139870213,-1.3506862798709587,1.3766
600928,西安银行,2.4,财报发布,1532,-1.362397820163483,0.49972237645749307,0.46093
600559,老白干酒,2.4,财报发布,2104,-6.965517241379309,-0.44647798974207104,0.757275
002490,山东墨龙,2.4,原材料价格波动,2067,-25.34364261168386,-9.882816550865925,13.355979999999999
600977,中国电影,2.4,行业龙头动作,689,12.358703843255467,9.903070062285767,1.5939150000000002
600108,亚盛集团,2.24,国家发展规划,2056,-14.555765595463146,-2.5021570319240842,5.878075
000778,新兴铸管,2.24,领导人重要讲话,73,-3.87931034482758,-1.5017667844522884,1.3954600000000001
600728,佳都科技,2.24,重大资产重组,3007,-7.704918032786881,-0.11531979065022531,1.2361149999999999
300003,乐普医疗,2.22,产品发布/召回,2131,-5.491329479768782,0.14700477765527936,1.67616
300651,金陵体育,2.08,行业龙头动作,1423,5.622775800711737,0.04381973236257536,24.080410000000004
002633,申科股份,2.0,负面舆情,259,2.159827213822906,4.646017699115043,1.9641899999999999
600717,天津港,1.85,重大合同签署,2681,-4.690831556503212,-1.952182496161429,0.8163500000000001
603119,浙江荣泰,1.45,行业龙头动作,3421,4.002642007926025,5.9580366876169295,5.6045300000000005
603017,中衡设计,1.3,盘面描述,3362,-6.308919506889045,-8.750617981495873,11.27512
600060,海信视像,1.3,国际贸易政策,3511,2.5503355704697994,2.824073035598125,0.93434
300251,光线传媒,1.3,盘面描述,3554,4.187500000000011,7.375201288244774,3.0809450000000003
603178,圣龙股份,1.3,盘面描述,3348,9.628697293895538,12.517762562976376,0.8997949999999999
002134,天津普林,1.3,盘面描述,341,8.095238095238091,8.893792574114933,3.188545
301595,太力科技,1.3,盘面描述,3563,-17.775933609958507,-8.136774959204862,6.53091
603318,水发燃气,1.3,盘面描述,1379,-8.983451536643033,-2.0293911826452007,6.463634999999999
600726,华电能源,1.3,盘面描述,402,-10.557768924302776,-16.759362254356677,4.72011
002081,金 螳 螂,1.3,盘面描述,2044,7.5362318840579645,10.433100163714846,0.8770199999999999
001267,汇绿生态,0.39,盘面描述,2010,9.66396860436595,8.929224022414422,8.873149999999999
300617,安靠智电,-1.3,盘面描述,3508,-0.01645007402532984,6.41874146443955,6.004019999999999
000715,中兴商业,-1.3,盘面描述,2052,-3.378378378378381,-0.052420059409402656,1.6619550000000003
002149,西部材料,-1.3,盘面描述,1400,24.54545454545454,14.174991926494624,14.157885000000002
001386,马可波罗,-2.0,股票回购/分红,2871,-12.454873646209393,-2.180763897642781,3.3255250000000003
001208,华菱线缆,-2.0,股票回购/分红,3557,9.63855421686746,12.299465240641728,10.2882
002217,合力泰,-2.2,负面舆情,3152,6.772908366533879,10.675201321494947,3.1457550000000003
000709,河钢股份,-2.24,原材料价格波动,1435,-4.132231404958682,-0.6423982869379069,0.911125
001298,好上好,-2.4,经济数据,956,-28.936307791787907,-23.141478425064697,2.670215
300160,秀强股份,-2.4,负面舆情,2744,-8.277027027027032,-3.6379769299024125,2.6608600000000004
688395,正弦电气,-2.4,反垄断/监管处罚,295,1.325255585005685,4.219811890249857,1.317455
002506,协鑫集成,-2.4,产品发布/召回,350,-16.19585687382297,-8.152734778121784,12.600869999999997
000048,京基智农,-2.4,股票回购/分红,2169,-30.560747663551403,-18.479304385988993,3.9468650000000003
600845,宝信软件,-2.6,财报发布,3170,1.2814847547503434,2.5549241576804564,0.98593
002321,华英农业,-2.6,负面舆情,3171,-3.524229074889871,1.365424670215232,2.344585
600257,大湖股份,-2.6,环保/安全检查,1209,-1.694915254237293,-3.326009546177754,4.789
300847,中船汉光,-2.6,财报发布,1991,-3.8532110091743164,0.3222821404639671,1.3591600000000001
300724,捷佳伟创,-2.64,财报发布,3225,-6.584745762711861,-2.797557373073773,7.700715000000001
600623,华谊集团,-2.81,原材料价格波动,2487,-4.397705544933086,1.5125367982945987,1.3700299999999999
301269,华大九天,-2.88,外交制裁/反制,776,-2.4875056792367243,2.653936063995804,0.6860100000000001
002779,中坚科技,-3.1,反垄断/监管处罚,151,7.499143933340951,4.214271092103146,1.639995
301560,众捷汽车,-3.1,股票回购/分红,482,5.130890052356004,1.0416142504906194,12.189645
002572,索菲亚,-3.12,国际贸易政策,411,-1.660377358490571,2.877896648375505,1.2031649999999998
002033,丽江股份,-3.12,行业新规,219,13.001083423618626,12.641071332145348,5.0876850000000005
000796,凯撒旅业,-3.12,行业新规,252,3.6190476190476266,2.4578585554195405,3.1758949999999997
300224,正海磁材,-3.3,财报发布,3317,-0.39840637450199534,3.964513446077066,2.1923000000000004
603169,兰石重装,-3.3,反垄断/监管处罚,2301,-11.843276936776492,-1.9024970273483963,2.223695
000513,丽珠集团,-3.68,行业新规,760,-2.1430640023168315,-0.7213056955237909,1.07835
600633,浙数文化,-3.8,负面舆情,318,-2.700675168792194,4.172523191839691,1.901275
002389,航天彩虹,-4.0,战争/冲突,859,-4.5667947076397795,2.439583094719958,2.75381
600664,哈药股份,-4.6,行业新规,2662,19.484240687679076,13.346017939657493,6.233614999999999
603363,傲农生物,-4.6,负面舆情,2032,-2.5943396226415167,3.1210986267165812,2.579815
603912,佳力图,-5.5,财报发布,2815,3.0303030303030174,7.452339688041574,7.753535000000001
300373,扬杰科技,-5.7,外交制裁/反制,370,6.251687820685923,6.584133606035554,2.2548399999999997
600864,哈投股份,-5.9,财报发布,3486,6.586826347305395,4.590525156077869,4.47553
